what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893304204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893306476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893316838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893322166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893324225
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893325840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893326226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893326711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893327988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893364672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893371931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893371953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893372011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893386398
started,bundle,org.eclipse.mylyn.java.tasks,3.5.0.v20110316-0100,"org.eclipse.mylyn.java.tasks",1559893395811
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1559893442471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1559893443464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893453691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893453806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893454464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893467919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893470197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893513319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1559893542595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893554335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893560823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893595159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893595172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893595234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893641323
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1559893642583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893643718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1559893645105
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1559893645430
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1559893645501
