what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1561557815969
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1561557819016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561557821340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557822283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557828662
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1561557832612
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1561557836021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561557836941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557837393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557843542
executed,command,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui.add.block.comment",1561557852230
executed,command,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui.add.block.comment",1561557855413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561557856364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557857216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557862225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1561557863588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1561557868897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561557874862
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561557876334
executed,command,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui.add.block.comment",1561557879961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561557886136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557886812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561557891606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1561557893040
