what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295699
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295792
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295810
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295826
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295842
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295858
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295886
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295903
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295919
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295935
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882295950
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882297276
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882297305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882300207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882301176
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.launchShortcut.run",1561882301279
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1561882301939
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1561882301999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561882303920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882304693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882337077
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1561882339280
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1561882344679
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882344959
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882345009
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1561882358963
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882359203
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882359254
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882363888
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882367406
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882374688
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882381665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882402299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882402307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561882404179
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882406402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882407904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882414285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882420486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882420498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561882422060
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561882423848
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1561882425041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882428019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882430654
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882447335
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1561882451287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1561882453303
executed,command,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui.format.document",1561882455693
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561882458691
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1561882461272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561882462378
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1561882471969
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882472071
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882488862
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882493250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1561882495366
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882506612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561882526028
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882527757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561882540574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882544075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882553570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561882557412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561882561620
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1561882562542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882566489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882594413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882605716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882612956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882619593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882637415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882640522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882642542
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1561882645006
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882650265
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561882650324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882679762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882905578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882906225
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882938204
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1561882940129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882947272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882948679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1561882948695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561882950745
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1561882952933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561882965625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883024250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883025590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883031928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883033575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883045948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883047819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883338369
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1561883339774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883356448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561883357977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561883358912
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1561883358925
