what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1560350046991
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1560350047718
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1560350047718
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1560350049649
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1560350053175
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1560350070290
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1560350075885
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1560350075963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1560350225874
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1560350230437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350240537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350241723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350241793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350242898
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.launchShortcut.run",1560350242907
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1560350247262
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1560350247316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1560350250236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350250938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350282919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350283737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1560350363143
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1560350364723
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1560350370317
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1560350375755
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1560350375818
