what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1561880363234
started,bundle,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui",1561880363236
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1561880363236
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1561880363237
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1561880363238
started,bundle,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui",1561880363238
os,sysinfo,,,"win32",1561880363243
arch,sysinfo,,,"x86",1561880363243
ws,sysinfo,,,"win32",1561880363243
locale,sysinfo,,,"zh_CN",1561880363243
processors,sysinfo,,,"4",1561880363243
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1561880363243
java.runtime.version,sysinfo,,,"1.8.0_211-b12",1561880363243
java.specification.name,sysinfo,,,"Java Platform API Specification",1561880363243
java.specification.vendor,sysinfo,,,"Oracle Corporation",1561880363243
java.specification.version,sysinfo,,,"1.8",1561880363243
java.vendor,sysinfo,,,"Oracle Corporation",1561880363243
java.version,sysinfo,,,"1.8.0_211",1561880363243
java.vm.info,sysinfo,,,"mixed mode",1561880363243
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1561880363243
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1561880363243
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1561880363243
java.vm.specification.version,sysinfo,,,"1.8",1561880363243
java.vm.vendor,sysinfo,,,"Oracle Corporation",1561880363243
java.vm.version,sysinfo,,,"25.211-b12",1561880363243
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1561880363308
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1561880363381
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1561880363745
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1561880363995
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1561880376343
started,bundle,org.eclipse.mylyn.java.tasks,3.5.0.v20110316-0100,"org.eclipse.mylyn.java.tasks",1561880377160
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1561880378125
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1561880378185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880378714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880391161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880404647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880418912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880435514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880469323
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561880471120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561880475317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880478530
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1561880479373
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1561880479721
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1561880479787
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1561880479835
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1561880479839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880598584
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1561880600364
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1561880604793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561880606368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880608312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880621952
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1561880623070
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1561880623188
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1561880623255
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1561880623274
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1561880623278
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1561880623375
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1561880623623
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1561880623630
started,bundle,org.eclipse.jst.servlet.ui,1.1.405.v201104141500,"org.eclipse.jst.servlet.ui",1561880623686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880638217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880641202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1561880641249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561880645369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880648413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880649946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561880649963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561880652778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880654696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880661129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561880661328
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1561880664724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561880671760
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1561880672790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880675923
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1561880676555
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1561880676572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561880677737
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.launchShortcut.run",1561880677830
opened,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1561880678011
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1561880678145
